epoch,dice_coefficient,dice_et,dice_tc,dice_wt,iou_score,jaccard_index,loss,sensitivity,specificity,val_dice_coefficient,val_dice_et,val_dice_tc,val_dice_wt,val_iou_score,val_jaccard_index,val_loss,val_sensitivity,val_specificity
0,0.9505171775817871,1.0,1.0,0.9420602321624756,0.6389217972755432,0.9121739864349365,0.8807904124259949,0.9481801390647888,0.9866257309913635,0.9603781700134277,1.0,1.0,0.9603781700134277,0.6374772787094116,0.9243193864822388,0.8793697953224182,0.9603781700134277,0.986792802810669
0,0.9524778723716736,1.0,1.0,0.9400659799575806,0.6373834013938904,0.9137521982192993,0.8821351528167725,0.9516598582267761,0.9865185618400574,0.9594886302947998,1.0,1.0,0.9594886302947998,0.6277629137039185,0.9227087497711182,0.8826704621315002,0.9594886302947998,0.9864962100982666
1,0.959552526473999,1.0,1.0,0.959552526473999,0.642935037612915,0.9229684472084045,0.8788172006607056,0.959552526473999,0.9865177273750305,0.9594885110855103,1.0,1.0,0.9594885110855103,0.6277628540992737,0.9227088093757629,0.882670521736145,0.9594885110855103,0.9864962100982666
2,0.959552526473999,1.0,1.0,0.959552526473999,0.642935037612915,0.9229685068130493,0.8788172006607056,0.959552526473999,0.9865177273750305,0.9594884514808655,1.0,1.0,0.9594884514808655,0.6277629137039185,0.9227088689804077,0.8826705813407898,0.9594884514808655,0.9864960312843323
3,0.959552526473999,1.0,1.0,0.959552526473999,0.6429448127746582,0.9229685068130493,0.8788147568702698,0.959552526473999,0.9865177273750305,0.9594885110855103,1.0,1.0,0.9594885110855103,0.6277629733085632,0.9227088689804077,0.8826705813407898,0.9594885110855103,0.9864960312843323
4,0.959552526473999,1.0,1.0,0.959552526473999,0.6429252624511719,0.9229685068130493,0.8788196444511414,0.959552526473999,0.9865177273750305,0.9594885110855103,1.0,1.0,0.9594885110855103,0.6277629733085632,0.9227088689804077,0.8826706409454346,0.9594885110855103,0.9864960312843323
