epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,iou_score,loss,lr,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_iou_score,val_loss,val_precision,val_sensitivity,val_specificity
0,0.9864978790283203,0.9998412132263184,0.9999788403511047,0.9999755024909973,0.9999815225601196,0.6985135674476624,0.8084680438041687,0.001,0.9866401553153992,0.9864082932472229,0.9955483078956604,0.4621690511703491,0.8212649822235107,0.799526035785675,0.8047485947608948,0.8366565108299255,0.12426061928272247,1.497462511062622,0.46218329668045044,0.46206241846084595,0.8207743167877197
1,0.9879781603813171,0.9999231696128845,0.9999961256980896,0.9999940991401672,0.9999957084655762,0.7296565771102905,0.8015836477279663,0.001,0.9881007671356201,0.9879018664360046,0.9960348010063171,0.5224664807319641,0.8711605072021484,0.8504441976547241,0.8737646341323853,0.8809616565704346,0.1413375586271286,1.4324396848678589,0.5224787592887878,0.5224325060844421,0.8408408164978027
2,0.987888514995575,0.9999251365661621,0.9999880790710449,0.9999885559082031,0.999993085861206,0.7333773970603943,0.8006120920181274,0.001,0.9879984259605408,0.9878223538398743,0.9960005879402161,0.35336267948150635,0.8151041269302368,0.809864342212677,0.8197828531265259,0.8164700865745544,0.09488794207572937,1.6159378290176392,0.35336247086524963,0.3533608615398407,0.7844551801681519
3,0.9883283376693726,0.9999339580535889,0.9999857544898987,0.9999846816062927,0.9999719858169556,0.7523334622383118,0.7966760396957397,0.001,0.9884265661239624,0.9882680773735046,0.996143102645874,0.7117245197296143,0.9995602369308472,0.9999396800994873,0.9999141097068787,0.9999372959136963,0.20002061128616333,1.2300359010696411,0.7117370367050171,0.7117099165916443,0.9039157629013062
4,0.9885308742523193,0.9999282360076904,0.9999437928199768,0.9999416470527649,0.9999575614929199,0.7537416815757751,0.7963060736656189,0.001,0.9886292219161987,0.9884721636772156,0.9962103962898254,0.5543118119239807,0.9850736260414124,0.9839092493057251,0.9879766702651978,0.9837896823883057,0.15474209189414978,1.3978861570358276,0.5543138980865479,0.5543076992034912,0.8514395952224731
5,0.9891744256019592,0.9999799132347107,0.9999973773956299,0.9999961853027344,0.9999977946281433,0.7721663117408752,0.7923731803894043,0.001,0.989250659942627,0.9891273975372314,0.996417224407196,0.8063215017318726,0.9990931153297424,0.9994223713874817,0.9995683431625366,0.9987357258796692,0.21531766653060913,1.1344600915908813,0.8063222765922546,0.8063209652900696,0.9354407787322998
6,0.9894165992736816,0.999983549118042,0.999997079372406,0.9999958872795105,0.9999955892562866,0.7775071859359741,0.7910459041595459,0.001,0.9894905686378479,0.9893711805343628,0.9964975118637085,0.500165581703186,0.9903331995010376,0.9913108944892883,0.9921795725822449,0.988170862197876,0.13852322101593018,1.4559311866760254,0.5001668334007263,0.5001638531684875,0.8333899974822998
7,0.9898584485054016,0.9999819993972778,0.9999972581863403,0.9999952912330627,0.9999909996986389,0.787722647190094,0.7893510460853577,0.001,0.9899266958236694,0.9898170232772827,0.9966428279876709,0.5782719254493713,0.999336302280426,0.9996852874755859,0.9998735785484314,0.9983785152435303,0.1611492782831192,1.3727039098739624,0.5783556699752808,0.5782703757286072,0.8594719767570496
8,0.9904538989067078,0.999991238117218,0.9999975562095642,0.9999961853027344,0.9999977946281433,0.7966572642326355,0.7871515154838562,0.001,0.9905157685279846,0.9904159307479858,0.9968393445014954,0.5092902183532715,0.9977973699569702,0.9981503486633301,0.9983615279197693,0.9969994425773621,0.13836321234703064,1.447931170463562,0.5093627572059631,0.5092895030975342,0.836475133895874
9,0.9898866415023804,0.9999899864196777,0.9999975562095642,0.9999961853027344,0.9999973773956299,0.7820823788642883,0.7894237637519836,0.001,0.9899556040763855,0.9898450374603271,0.9966522455215454,0.3754306137561798,0.9618152379989624,0.9619919657707214,0.9588339924812317,0.9636940956115723,0.10242430865764618,1.591139554977417,0.37550923228263855,0.37543007731437683,0.791880190372467
