epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,loss,lr,mean_io_u,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_mean_io_u,val_precision,val_sensitivity,val_specificity
0,0.9824384450912476,0.2705506980419159,0.15571090579032898,0.03990641608834267,0.03310146555304527,0.10192668437957764,0.001,0.5361073613166809,0.9833908081054688,0.968941867351532,0.9956681132316589,0.9858474731445312,0.2794163227081299,0.14160752296447754,0.017262887209653854,0.0198444165289402,0.07358723878860474,0.8614304065704346,0.9861430525779724,0.9856887459754944,0.9953832626342773
1,0.9863042831420898,0.300245463848114,0.2602686882019043,0.07226759195327759,0.07675166428089142,0.052155137062072754,0.001,0.5501918196678162,0.98847496509552,0.9844778180122375,0.9961629509925842,0.9855295419692993,0.3118055462837219,0.2885928452014923,0.12281841039657593,0.10324592143297195,0.04530583322048187,0.4116487503051758,0.9902299046516418,0.9837327599525452,0.9967210292816162
2,0.9857802987098694,0.32364749908447266,0.29331541061401367,0.14107295870780945,0.11688198894262314,0.04571011662483215,0.001,0.46915316581726074,0.9897178411483765,0.9835898876190186,0.9965460896492004,0.9855484366416931,0.2956382632255554,0.1822061836719513,0.043119125068187714,0.0335899293422699,0.05387236550450325,0.48518308997154236,0.986211895942688,0.9854947924613953,0.9954020977020264
3,0.9874610304832458,0.3506803512573242,0.33490481972694397,0.25395703315734863,0.1444544494152069,0.04135558381676674,0.001,0.4665394723415375,0.990985095500946,0.9850825071334839,0.9969506859779358,0.985541820526123,0.3077941834926605,0.23611880838871002,0.07715456932783127,0.06530003994703293,0.05226490646600723,0.3903656601905823,0.9868379831314087,0.9853547811508179,0.995613157749176
4,0.9884901642799377,0.37567195296287537,0.3802967369556427,0.3273584544658661,0.17259439826011658,0.03382975608110428,0.00020000001,0.3880082368850708,0.9921836256980896,0.9859421849250793,0.9973461627960205,0.990671694278717,0.42567354440689087,0.53274005651474,0.44492998719215393,0.23431599140167236,0.02934480831027031,0.3838943541049957,0.993003785610199,0.9878943562507629,0.997625470161438
5,0.9911019206047058,0.4467819333076477,0.5317232608795166,0.4663337171077728,0.252867192029953,0.026293955743312836,0.00020000001,0.38754841685295105,0.9928039908409119,0.9891318678855896,0.9975613951683044,0.9909063577651978,0.4523480534553528,0.5455654263496399,0.41106730699539185,0.19762562215328217,0.027489475905895233,0.39615872502326965,0.9916307926177979,0.9898845553398132,0.9971940517425537
6,0.9919425249099731,0.47531765699386597,0.580480694770813,0.5010311007499695,0.2928391098976135,0.023780545219779015,0.00020000001,0.4056309163570404,0.9930450320243835,0.9903692007064819,0.9976536631584167,0.9913209676742554,0.4812532961368561,0.6476432681083679,0.41968899965286255,0.29604393243789673,0.025083428248763084,0.4110816419124603,0.9917731881141663,0.9903004765510559,0.9972488284111023
7,0.9925821423530579,0.4992911219596863,0.6160874962806702,0.5291528701782227,0.3344375193119049,0.022067509591579437,0.00020000001,0.4133315682411194,0.9933882355690002,0.9911941885948181,0.9977692365646362,0.9924948811531067,0.48251140117645264,0.5995696783065796,0.5048509240150452,0.3027082085609436,0.023143067955970764,0.42012518644332886,0.9933751821517944,0.9910057783126831,0.9977652430534363
8,0.9932817220687866,0.5255181193351746,0.6535025835037231,0.5554490089416504,0.3767026662826538,0.019478823989629745,0.00020000001,0.44069069623947144,0.9939180612564087,0.9919891953468323,0.9979480504989624,0.9926157593727112,0.5146753191947937,0.6080979704856873,0.5028011202812195,0.31777599453926086,0.02329370565712452,0.44401976466178894,0.9932403564453125,0.9915390610694885,0.9977317452430725
9,0.9936306476593018,0.5381128787994385,0.6710605621337891,0.5672540068626404,0.38850075006484985,0.018628312274813652,0.00020000001,0.45046931505203247,0.9941563606262207,0.9923977255821228,0.9980267882347107,0.992834746837616,0.5015919804573059,0.6698856949806213,0.5427062511444092,0.30494335293769836,0.02308082953095436,0.4614499807357788,0.9933561682701111,0.991436243057251,0.9977678060531616
