epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,loss,lr,mean_io_u,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_mean_io_u,val_precision,val_sensitivity,val_specificity
0,0.9812437891960144,0.27581000328063965,0.1849946677684784,0.035474758595228195,0.03413417935371399,0.08754394203424454,0.001,0.5927962064743042,0.9811869263648987,0.9764006733894348,0.9955733418464661,0.9869817495346069,0.28110024333000183,0.21566717326641083,0.010440497659146786,0.021825529634952545,0.0519692488014698,0.4784109592437744,0.9872280955314636,0.9868015050888062,0.9957438111305237
1,0.9859173893928528,0.29834848642349243,0.2554584741592407,0.07441241294145584,0.06306251138448715,0.05401211977005005,0.001,0.5259578824043274,0.9879673719406128,0.9835666418075562,0.9959878325462341,0.9874868988990784,0.2932802736759186,0.2989453375339508,0.10080307722091675,0.07147226482629776,0.05256214737892151,0.3789120614528656,0.9914190769195557,0.9839709401130676,0.9971048831939697
2,0.9863083362579346,0.3076408803462982,0.2611156105995178,0.12857405841350555,0.06937969475984573,0.05236157402396202,0.001,0.5242815017700195,0.9885348081588745,0.9846858978271484,0.9961799383163452,0.9877782464027405,0.3202086389064789,0.22003503143787384,0.16057468950748444,0.08889984339475632,0.04611510783433914,0.7852421998977661,0.9898601770401001,0.9860106110572815,0.996613621711731
3,0.9859374761581421,0.32773444056510925,0.25587040185928345,0.23515528440475464,0.10527988523244858,0.046836428344249725,0.001,0.49177971482276917,0.9882920384407043,0.9843994379043579,0.9960936307907104,0.9878535270690918,0.3471694588661194,0.23600681126117706,0.28278648853302,0.1864098161458969,0.03831620514392853,0.4773174226284027,0.9904637932777405,0.9860092401504517,0.9967992901802063
4,0.9859312772750854,0.3414652645587921,0.2726077437400818,0.2360810935497284,0.15919700264930725,0.04577069729566574,0.001,0.49169430136680603,0.9877413511276245,0.9844841361045837,0.9959006905555725,0.987484872341156,0.33086350560188293,0.25847893953323364,0.22844183444976807,0.11390991508960724,0.040048256516456604,0.48058488965034485,0.9883592128753662,0.9870428442955017,0.9961003661155701
5,0.9873936176300049,0.3748309910297394,0.29523971676826477,0.36261218786239624,0.21932628750801086,0.04086241498589516,0.001,0.44110578298568726,0.9896987676620483,0.9855470657348633,0.9965392351150513,0.9878628849983215,0.33240383863449097,0.2911747694015503,0.31405341625213623,0.11573842167854309,0.040221650153398514,0.37537869811058044,0.9892780184745789,0.9871506690979004,0.9964088201522827
6,0.9895322918891907,0.42376187443733215,0.41752001643180847,0.417208194732666,0.28113535046577454,0.03320716321468353,0.00020000001,0.37560203671455383,0.9909361004829407,0.988051176071167,0.996949315071106,0.9911201000213623,0.44940271973609924,0.48496901988983154,0.47645464539527893,0.36210355162620544,0.03012322448194027,0.37538769841194153,0.992567777633667,0.9891638159751892,0.9974937438964844
7,0.9908120632171631,0.4651753008365631,0.48861926794052124,0.47452279925346375,0.34813186526298523,0.029875630512833595,0.00020000001,0.3755096197128296,0.9918294548988342,0.9893152713775635,0.9972487688064575,0.9917267560958862,0.46397414803504944,0.45590826869010925,0.5091367363929749,0.3864467740058899,0.027643484994769096,0.37540552020072937,0.9925962686538696,0.9903814196586609,0.9975097179412842
8,0.9916432499885559,0.4966284930706024,0.5397772789001465,0.5116683840751648,0.3970143496990204,0.02644120156764984,0.00020000001,0.375501811504364,0.9924116134643555,0.9903565645217896,0.9974471926689148,0.9924934506416321,0.5032866597175598,0.585345983505249,0.5247251987457275,0.4088958501815796,0.023963822051882744,0.3754073977470398,0.9930999875068665,0.9912769794464111,0.9976817965507507
9,0.9921402931213379,0.5181357264518738,0.5799320340156555,0.5344347953796387,0.42488062381744385,0.024320930242538452,0.00020000001,0.3754933774471283,0.992841362953186,0.9908480644226074,0.9975895881652832,0.992926836013794,0.5083444714546204,0.5958418846130371,0.43370476365089417,0.3488156795501709,0.023726433515548706,0.37549829483032227,0.9931714534759521,0.9922769665718079,0.9977105855941772
